"Company Name ","Symbol ","Sector ","Sub-Sector ","Listing Date ","Listing Board "
"D&L Industries, Inc.",DNL,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2012/12/12,Main Board
"PLDT INC. -USD",DTEL,SERVICES INDEX,TELECOMMUNICATIONS,2003/07/16,Main Board
"Discovery World Corporation",DWC,SERVICES INDEX,HOTEL & LEISURE,2013/11/21,Main Board
"Easycall Communications Philippines, Inc.",ECP,SERVICES INDEX,INFORMATION TECHNOLOGY,1992/05/05,Main Board
"East Coast Vulcan Mining Corporation",ECVC,MINING & OIL INDEX,MINING,1970/08/31,Main Board
"EEI Corporation",EEI,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1975/07/21,Main Board
"EEI Corporation Series A Preferred Shares",EEIPA,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2021/12/23,Main Board
"EEI Corporation Series B Preferred Shares",EEIPB,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2021/12/23,Main Board
"EEI Corporation Series D Preferred Shares",EEIPD,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2026/02/24,Main Board
"IP E-Game Ventures, Inc.",EG,SERVICES INDEX,CASINOS & GAMING,2010/02/17,Main Board
"Everwoods Green Resources and Holdings, Inc.",EGRN,PROPERTY INDEX,PROPERTY,1996/09/16,Main Board
"Empire East Land Holdings, Inc.",ELI,PROPERTY INDEX,PROPERTY,1996/06/28,Main Board
"Emperador Inc.",EMI,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2011/12/19,Main Board
"ENEX Energy Corp.",ENEX,MINING & OIL INDEX,OIL,2014/08/28,Main Board
"Euro-Med Laboratories Phil., Inc.",EURO,INDUSTRIAL INDEX,CHEMICALS,1998/07/02,Main Board
"East West Banking Corporation",EW,FINANCIALS INDEX,BANKS,2012/05/07,Main Board
"First Abacus Financial Holdings Corp.",FAF,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1994/11/17,Main Board
"San Miguel Food and Beverage, Inc.",FB,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1971/10/28,Main Board
"San Miguel Food and Beverage, Inc. - Preferred",FBP,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2011/03/03,Main Board
"San Miguel Food and Beverage, Inc. Perpetual Preferred Shares Series ``2``",FBP2,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2015/03/12,Main Board
"Figaro Culinary Group, Inc.",FCG,INDUSTRIAL,FOOD/BEVERAGE/TOBACCO,2022/01/24,Main Board
"Filinvest Development Corporation",FDC,HOLDING FIRMS INDEX,HOLDING FIRMS,1982/12/22,Main Board
"Filinvest Development Corporation Series A Preferred Shares",FDCPA,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/08/08,Main Board
"Filinvest Development Corporation Series B Preferred Shares",FDCPB,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/08/08,Main Board
"Ferronoux Holdings, Inc.",FERRO,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2013/08/13,Main Board
"Far Eastern University, Incorporated",FEU,SERVICES INDEX,EDUCATION,1986/07/11,Main Board
"Filipino Fund, Inc.",FFI,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1995/09/27,Main Board
"First Gen Corporation",FGEN,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2006/02/10,Main Board
"First Gen Corporation Series ``G`` Preferred Shares",FGENG,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2012/05/17,Main Board
"Filinvest REIT Corp.",FILRT,FILINVEST REIT CORP.,PROPERTY,2021/08/12,Main Board
"F&J Prince Holdings Corporation ``A``",FJP,HOLDING FIRMS INDEX,HOLDING FIRMS,1982/12/08,Main Board
"F&J Prince Holdings Corporation ``B``",FJPB,HOLDING FIRMS INDEX,HOLDING FIRMS,1982/12/08,Main Board
"Filinvest Land, Inc.",FLI,PROPERTY INDEX,PROPERTY,1993/10/25,Main Board
"First Metro Philippine Equity Exchange Traded Fund, Inc.",FMETF,,ETF-EQUITY,2013/12/02,Main Board
"Global Ferronickel Holdings, Inc.",FNI,MINING & OIL INDEX,MINING,1994/12/14,Main Board
"Alliance Select Foods International, Inc.",FOOD,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2006/11/08,Main Board
"First Philippine Holdings Corporation",FPH,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1963/05/23,Main Board
"Forum Pacific, Inc.",FPI,HOLDING FIRMS INDEX,HOLDING FIRMS,1994/12/19,Main Board
"Fruitas Holdings, Inc.",FRUIT,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2019/11/29,Main Board
